"no","fileName","filePath","institution","institutionKind","type","reason","lastWriteTime","fileSize"
"14","첨부]학교법인+청심학원+및+선학유피대학원대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\첨부]학교법인+청심학원+및+선학유피대학원대학교+회계부분감사+결과.pdf","선학유피대학원대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:46:45.365Z","162649"
"15","학교법인+감리교신학원+및+감리교신학대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+감리교신학원+및+감리교신학대학교+회계부분감사+결과.pdf","감리교신학대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:52:27.512Z","148423"
"16","학교법인+거영학원+및+한국관광대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+거영학원+및+한국관광대학교+회계부분감사+결과.pdf","한국관광대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-23T04:46:31.947Z","159349"
"17","학교법인+건양교육재단+및+건양대학교+종합감사+결과+전문(공개본).pdf","C:\antigravity\audit_files\학교법인+건양교육재단+및+건양대학교+종합감사+결과+전문(공개본).pdf","건양대학교","학교법인","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:41:39.199Z","16838198"
"18","학교법인+건양학원+및+건양사이버대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+건양학원+및+건양사이버대학교+회계부분감사+결과.pdf","건양사이버대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-23T04:46:22.144Z","154616"
"19","학교법인+경동대학교+및+경동대학교+종합감사+결과+처분서+전문+공개.pdf","C:\antigravity\audit_files\학교법인+경동대학교+및+경동대학교+종합감사+결과+처분서+전문+공개.pdf","경동대학교","학교법인","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:40:44.625Z","1406979"
"20","학교법인+경북학원+및+영남외국어대학+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+경북학원+및+영남외국어대학+회계부분감사+결과.pdf","영남외국어대학","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:49:31.823Z","154287"
"21","학교법인+경희학원+및+경희대학교+종합감사+결과+전문(공개본).pdf","C:\antigravity\audit_files\학교법인+경희학원+및+경희대학교+종합감사+결과+전문(공개본).pdf","경희대학교","학교법인","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:41:28.958Z","1664852"
"22","학교법인+고려중앙학원+및+고려대학교+종합감사+결과+공개(홈페이지).pdf","C:\antigravity\audit_files\학교법인+고려중앙학원+및+고려대학교+종합감사+결과+공개(홈페이지).pdf","고려대학교","학교법인","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:42:28.036Z","1448985"
"23","학교법인+고운학원+및+수원과학대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+고운학원+및+수원과학대학교+회계부분감사+결과.pdf","수원과학대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-23T04:46:09.811Z","260818"
