,,,,
대학 감사 지적 사례 검색 서비스,,,,
,,,,
검색구분,"검색구분(학교명, 제목, 지적내용)",,,
,,,,
검색기간,,,,
,,,,
,,,,
연도,학교명,구분,제    목,지적내용
2017,진주교육대학교,종합감사,복무 관리 및 여비 지급 부적정,"◦ 직원 2명이 승진시험에 응시하면서 공가가 아닌 출장으로 복무처리하여 출장비 합계 478,400원 수령 
◦ 협의회 참석 대상자가 아닌 배우자를 ‘동반참석’ 명목으로 출장처리하고 출장비 344,800원 수령"
2017,진주교육대학교,종합감사,국외출장 여비 지급 부적정,"◦ 국외 출장을 간 직원 1명에게 숙박비를 실비 상한액으로 선금 지급한 후 출장자가 국외 숙박비 결제 증거서류를 분실하여 숙박비 내역을 확인할 수 없는 데도 숙박비를 할인정액으로 사후 정산하지 않았고, 또한 동일지역 체재 기간이 도착한 다음날부터 26일을 초과하였는데도 일비를 감액하지 않아 숙박비 724,210원, 일비 43,050원 합계 757,260원 과다 지급
◦ 국외 출장을 간 직원 3명에게 동행한 상급자의 여비 등급으로 숙박비 할인정액을 지급함에 따라 숙박비 합계 482,000원 과다 지급"
2017,진주교육대학교,종합감사,부설초 청소용역 분할수의계약 부적정,2016년부터 2017년까지 2차례에 걸쳐 청소 용역계약을 분할하여 수의계약
2017,진주교육대학교,종합감사,도서관 자료 관리 부적정,반납연체에 따라 자료 대출이 정지된 교원 3명에게 도서자료 대출 미정지
2017,진주교육대학교,종합감사,총장실 업무추진비 집행 부적정 ,"집행목적이나 집행대상 등에 관한 사전 결재 없이 先 집행한 213건 경비 합계 16,770천원을 16회에 걸쳐 사용용도 확인이 곤란한 영수증만 첨부한 채 일괄 지출"
2017,진주교육대학교,종합감사,설계용역 감독 및 검사 태만,"“교육학술정보센터 신축 설계용역”을 추진하면서 5~6층 개가식 서고 등분포활하중을 기준보다 낮게 적용하여 구조계산 된 설계도서를 납품받고도 재설계 요구 등의 시정미조치, 설계내역에 암반(보통암 615㎥) 터파기 비용이 중장비(굴삭기 0.7㎥)가 아닌 인력에 의한 것으로 반영되어 공사비가 65,879천원 과다계상된 설계도서를 납품받고도 재설계 요구 등의 시정조치를 취하지 않았고, 
  - 나아가, 위 설계도서를 기초로 “무용실 및 체조실 설치공사를 추진, 56,870천원 상당의 공사비 낭비"
2017,진주교육대학교,종합감사,시설공사 감독 및 검사 부적정,“교육학술정보센터 신축공사를 추진하면서 시공업체가 외부 커튼월의 복층유리(4면 구조코킹 접합방식)와 이를 지지하는 창틀 간의 접합부를 설계도서 상 구조용 코킹재가 아닌 양면테이프 등으로 시공한 것에 대해 재시공 요구 등의 시정조치를 하지 않음
2017,진주교육대학교,종합감사,시설공사 법정경비 未정산,"◦ 8건의 공사에 계상된 안전관리비 중 목적대로 사용하지 않았거나 사용 여부를 확인할 수 없는 비용 합계 7,148,520원을 정산(감액)하지 않음
◦ “교육정보학술센터 신축공사를 추진하면서 도급금액에 계상된 환경관리비 7,737,000원 중 실제 동 현장의 환경관리 목적으로 사용하였는지 여부를 확인할 수 없는 비용 748,000원을 정산(감액)하지 않음"
2017,진주교육대학교,종합감사,시설사업 예산 집행 부적정,"교육부에 신규사업인 ‘체육관 증축공사’ 소요예산 신청하였으나 반영되지 않고 ‘체육관 개보수’ 예산으로 배정되자, 시설보수비 등으로 공사비를 충당하는 방법으로 위 체육관 증축공사를 추진하기로 결정하고 체육관 증축 공사비를 시설보수비 등에서 집행"
2017,진주교육대학교,종합감사,실험실습기자재 관리 부적정,"실험실습기자재 4종 10점(취득가액 합계 2,316,800원)을 분실 또는 폐기하고도 이를 물품관리관에게 보고하지 않음"
