,,,,
대학 감사 지적 사례 검색 서비스,,,,
,,,,
검색구분,"검색구분(학교명, 제목, 지적내용)",,,
,,,,
검색기간,,,,
,,,,
,,,,
연도,학교명,구분,제    목,지적내용
2020,동서대학교,종합감사,강의 보강 未실시 및 초과강의료 수령 부당,"◦ 고등교육법 제15조 제2항에 따르면 교원은 학생을
교육·지도한다고 되어 있으며, 동서대학교 교직원 국내·
외 출장 규정 제5조에 따르면, 국외출장승인신청서는
출장일 3주일 전에 상신하는 것을 원칙으로 하고 휴·보강
계획을 입력해야 한다고 되어 있으며, 동서대학교 학칙
시행세칙 제60조에 따르면 공무 출장일 경우 출장 결재를
득한 후 보강계획을 입력하고 계획에 따라 보강하여야
하고, 개인출장은 학기 중 출장을 원칙적으로 금하며,
출장승인을 득한 경우 보강계획을 입력하고 계획에 따라
보강하여야 한다고 되어 있고, 동서대학교 수업관리
규정 제7조에는 보강일시와 장소 등의 계획은 학생지원
시스템을 통해 사전에 수강학생들에게 안내하여야 한다고
되어 있는데도,
- 동서대학교 AF는 총장의 승인을 받지 않고, 복무처리
도 하지 않은 채 ‘공무외 국외여행(‘17.4.16.~4.2.)’을 하였
고, 동 기간 동안 예정된 7개 교과목(19시간)에 대해 보
강계획을 입력하지 않고 보강도 실시하지 않는
등【붙임1】“결강 과목 보강 未실시 현황”과 같이
2017학년도 1학기부터 2019학년도 2학기까지 위 AF 등 교원
6명은 ‘未승인 공무외 국외여행’으로 결강한 28개 과
목, 합계 135시간에 대해 보강계획을 입력하지 않고
보강도 실시하지 않은 사실이 있으며,
· 특히, 위 AF는 2017학년도 1학기 未보강한 64시간에
대한 초과강의료 896천원을 지급받는 등【붙임2】“초
과강의료 부당 수령 현황”과 같이 2017학년도부터
2019학년도까지 위 AF 등 교원 4명은 보강하지 않
은 97시간에 대한 초과강의료 합계 1,358천원을 지
급 받은 사실이 있음."
2020,동서대학교,종합감사,장학금 지급 부적정,"【학생자치기구 장학금 부적정 지급】…………… ①
◦ 동서대학교 장학규정 제8 제2항에 따르면 학생자치
기구 장학의 수혜자격은 학생자치기구 간부 또는 우수
자치기구 참여자로서 직전학기 평점이 2.7이상인 학생
중 지도교수 및 학부장의 추천을 받은 자 가운데 선발한
다고 되어 있는데도,
- 동서대학교는 2017학년도 1학기 AG(학번 : ****)학
생의 직전 학기 평점 평균이 2.6임에도 학생자치기구장
학금 1,70천원을 지급하는 등【붙임1】“직전학기 성적
기준 미달자 학생자치기구 장학금 부적정 지급 현황”과
같이 2017학년도 1학기부터 2019학년도 2학기까지 위
AG 등 직전학기 성적이 기준에 미달하는 학생 3명에게
학생자치기구장학금 합계 3,70천원을 지급한 사실이
있으며,
【일반봉사 장학금 지급 대상 학생 관리 부적정】… ②
◦ 동서대학교 장학규정 제8 제2항에 따르면 부서나
학부에서 봉사하는 학생에 대해 일반봉사 장학금을 지급
할 수 있도록 되어 있고, 동서대학교 봉사장학생운영
규정 제2조 및 제5조 제2항에 따르면 봉사장학생은
학업에 지장이 없는 범위 내에서 봉사해야 하며, 봉사
장학생을 배치 받은 각 학부 및 부서에서는 봉사장학
생의 근무상황을 매달 1회 학생취업지원처에 통보하여야
한다고 되어 있는데도,
- 동서대학교 ㅆ은 2019학년도 1학기 ㅆ에서 봉사한 AH
(학번: ****) 학생이 수업(영어1, 2019.3.1. 13:0~15:0)에 참여
하였음에도 동일한 시간에 ㅆ에서 봉사했다고 학생취업
처에 근무상황을 제출하는 등【붙임2】“일반봉사 장
학생 관리 부적정 현황”과 같이 2019학년도 1학기부터 2
학기까지 ㅆ과 ㅉ은 위 AH 등 학생 2명이 총 125회,
합계 152시간을 수업에 참가하여 근무를 할 수 없었음
에도 근무한 것으로 작성한 근무상황부의 근로시간을
확인하지 않고 장학팀에 제출하여 합계 1,269,20원을
지급하게 한 사실이 있음."
2020,동서대학교,종합감사,강사 강의시간 배정 부적정,"◦ 동서대학교 시간강사위촉에 관한 규정 제5조에 따르면
시간강사는 동일인이 12시간을 초과하여 담당할 수 없음을
원칙으로 하고, 동서대학교 강사료 지급규정 제7조에
따르면 시간강사의 경우 강의시간이 주당 16시간*을
초과할 수 없고, 부득이 초과하여야 할 경우 특인
신청서를 제출하여 총장의 승인을 얻어야 한다고 되어
있는데도,
* 2018.3.1. 시간강사 강의시간 주당 12시간으로 개정
- 동서대학교는 2017학년도 2학기 AI를 ㄹ학부 강사로
채용하면서 총장의 승인 없이 3개 과목 강의 합계 20
시간을 배정한 사실이 있음
※ 위 3개 과목은 시수 150% 인정"
2020,동서대학교,종합감사,교원 책임시수 배정 부적정,"◦ 고등교육법 시행령 제6조에 따르면 교원의 교수시간은
매 학년 30주를 기준으로 매주 9시간을 원칙으로 한다고
되어 있고, 동서대학교 강사료 지급 규정 제3조에
따르면 대학교 교원의 책임학점(2017, 2018학년도는 시수*)은
학기당 10학점으로 하고, 연봉계약제 교원의 경우에는
계약한 학점을 책임학점으로 한다고 되어 있으며, 동 규정
제6조에는 보직을 가진 교원의 주당 책임학점은 감면
되고, 규정된 교원 이외에도 총장이 필요하다고 인정
하는 보직 교원에 대하여 그 직무의 정도에 따라 책임
시수의 일부를 면제할 수 있다고 되어 있으며, 동서
대학교 외국인교원 임용 및 처우에 관한 규정 제4조
제2항에 따르면 임용계약의 조건에는 강좌시간 등 기타
필요한 사항을 포함한다고 되어 있고, 동서대학교 고용
계약서(외국인 교수 AJ, 2017~2019)에는 동서대학교를 위한 교
정이나 번역 업무는 을에게 주어진 계약 업무이며 책
임 시수는 12시간으로 되어 있는데도,
* 2018학년도까지 책임시수(10시수) 적용, 2019학년도부터 책임학점
으로 개정(2018.12.14.)
- 동서대학교는 2017학년도 2학기 AK에게 주당 책임시수
(10시수)에 미달하는 9시수만 배정하는 등【붙임】“책임
학점(시수) 未준수 배정 현황”과 같이 2017학년도 1학기
부터 2019학년도 2학기까지 위 AK 등 교원 8명에게 책
임시수(2017, 2018) 및 책임학점(2019) 총 6시수(2017,
2018), 23학점(2019)을 미달하게 강의 배정한 사실이 있
음"
2020,동서대학교,종합감사,성적산출자료 未보관,"◦ 공공기록물 관리에 관한 법률 제5조 및 같은법 시행
령 제3조, 제4조에 따르면 공공기관(고등교육법에 따
라 설립된 학교 포함)의 장은 기록물의 생산부터 활용
까지의 전 과정에 걸쳐 진본성, 무결성, 신뢰성 및 이용
가능성이 보장 될 수 있도록 관리하여야 하고, 동서
대학교 수업관리 규정 제1조에는 성적산출 자료는
종이문서 또는 전자문서 형태로 10년간 보존하여야 한
다고 되어 있는데도,
- 동서대학교는 2017학년도 1학기 AL이 강의한 ‘ㅁ’ 과목
기말고사 답안지를 보관하고 있지 않는 등【붙임】“학
기말 고사 답안지 未보관 현황”과 같이 2017학년도 1학
기부터 2020. 4. 감사일 현재까지 942개 교과목의 시험
답안지를 보관하고 있지 않은 사실이 있음."
2020,동서대학교,종합감사,현장실습 현장지도 未실시,"◦ 고등교육법 제2조 및 대학생 현장실습 운영규정(교육부
고시 제2017-15호, 2017.3.1.) 제15조 제4항에 따르면 학교의
장은 실습기관의 장과 협의하여 지도(담당)교수 등 현장
실습생에 대하여 필요한 현장지도를 하여야 하고,
교육부 대학 현장실습 운영 매뉴얼(2017) 에 따르면
대학(교원, 현장실습지원센터, 전담부서 등)에서는 현장실습
기간 중 실제 운영형태 및 여건과 실습에 참여한 학생
들의 실습수행 태도 및 상태 등을 점검하여야 한다고
되어있는데도,
- 동서대학교는 2017학년도 1학기에 2017. 3. 2. 부터
2017. 6. 24.까지 현장실습(실습기관 : ◇◇)에 참여한
4학년 AM 학생에 대하여 현장지도를 실시하지 않는
등 【붙임】“현장실습 현장지도 未실시 현황”과 같이
2017학년도 1학기부터 2019학년도 동계학기까지
현장실습에 참여한 위 AM 등 학생 1,103명에 대하여
현장지도를 실시하지 않은 사실이 있음"
2020,동서대학교,종합감사,현장실습생 상해보험 등 未가입 및 지연가입,"◦ 고등교육법｣ 제22조 및 대학생 현장실습 운영규정
(교육부고시 제2017-15호, 2017.3.1.)｣ 제16조, 교육부 대학
현장실습 운영 매뉴얼(2017) 에 따르면 대학 또는 실습
기관은 현장실습 중 발생할 수 있는 상해 등의 사고로
인한 생명·신체상의 손해 및 배상책임 등의 상황에 대비
하여 현장실습생을 피보험자로 하는 상해보험 등에 가입
하는 등 보호조치를 강구하여야 하고, 동서대학교 현장
실습규정 제6조에 따르면 주관부서 또는 실습기관은
현장실습으로 파견되는 자를 피보험자로 하는 상해
보험에 반드시 가입하여야 하며 보험기간은 현장실습
근무기간 및 근무를 위한 이동기간을 포함해야 한다고
되어있는데도,
- 동서대학교는 2017학년도 하계학기에 ‘ㅂ’ 과목을 수
강한 국제학부 4학년 AN이 2017. 6. 26.부터 2017. 8. 20.
까지 현장실습(실습기관: ♡♡)에 참여함에도 위 학생에
대하여 상해보험 등에 가입하지 않는 등 【붙임】“현
장실습생 상해보험 등 未가입 및 지연가입 현황”과 같
이 2017학년도 하계학기부터 2019학년도 동계학기까지
현장실습에 참여한 위 AN 등 학생 92명에 대하여 상
해보험 등에 가입하지 않거나 실습시작일로부터 최
소 1일 최대 2일 지연하여 가입한 사실이 있음"
2020,동서대학교,종합감사,수업계획서 전산망 지연 입력,"◦ 동서대학교 수업관리규정 제5조 제1항 및 제2항에
따르면 담당교수는 수업계획서를 공지한 기간 내에 교내
전산망에 입력하여야 하고, 수업계획서는 학생이 해당
수업의 목표 및 수업 방법개요, 평가방법, 주별강의 내용
등을 충분히 파악할 수 있도록 작성하여야 한다고 되어
있는데도,
- 동서대학교 AO는 2017학년도 1학기에 개설된 ‘ㅅ’ 교과
목의 수업계획서를 공지한 기간(’17.2.1.~’17.2.8.)보다 51
일 지연하여 교내 전산망에 입력하는 등 2017학년도 1
학기부터 2019학년도 2학기까지 위 AO 등 교원 842
명은 3,15개 교과목의 수업계획서를 공지한 기간보다
최소 1일 최대 134일 지연하여 교내 전산망에 입력한
사실이 있음"
2020,동서대학교,종합감사,평생교육시설 교육과정 변경사항 관할청 未보고,"◦ 평생교육법 제30조 제1항 및 같은 법 시행령 제24조,
같은 법 시행규칙 제9조에 따르면 학교 부설 평생교육
시설을 설치한 각급 학교의 장은 교육부령으로 정하는
보고서에 운영규칙을 첨부하여 관할청에 보고하여야
하고, 보고사항(교육과정 등)을 변경하는 경우에도 또한
같다고 되어 있는데도,
- 동서대학교 사회교육원(평생교육시설)은 2017학년도에
‘가곡교실’ 과정을 개설하면서 관할청(교육부)에 교육
과정 변경사항을 보고하지 않는 등 【붙임】“평생교육
시설 교육과정 변경사항 관할청 未보고 현황”과 같이
2017학년도부터 2019학년도까지 위 ‘가곡교실’ 등 67개
과정을 개설하면서 관할청에 교육과정 변경사항을 보고
하지 않은 사실이 있음"
2020,동서대학교,종합감사,교내연구과제 수행 및 관리 부적정,"◦ 「동서대학교 교내연구비관리규정(204. 9. 1. 제정, 201. 4. 1.
개정)」제7조에 따르면 연구기간 만료 후 1개월 이내에
연구결과보고서를 제출하여야 하고, 연구과제 구분별
연구결과물은 과제 공고 시 별도로 안내된 일정에 따라
제출하도록 되어 있으며, 연구결과보고서 및 연구결과물
제출 의무를 이행하지 못한 경우는 향후 3년간 교내
연구비 지원을 제한할 수 있고, 연구비 전액을 환입할
수 있으며, 「2014∼2017년도 동서프론티어과제 지원사업
공고」에 따르면 연구결과물을 논문으로 제출하는 경우
단독 사사표시가 있는 논문만 인정하며, 제출기한 내 논문
게재(확정)가 되지 않은 경우에는 연구비를 전액 환수한
다고 되어 있는데도,
【연구논문 未제출 및 지연제출】…………………… ①
- 동서대학교는 AP가 2015년도 동서프론티어 연구과제
(과제명 : “ㅇ”, 연구기간 : ’15. 12. 1. ~ ’16. 1. 30., 지원액 : 9,081천
원) 연구결과물을 제출 기한 내(’18.5.31.) 제출하지 않았음
에도 연구비 9,081,120원을 회수하지 않는 등【붙임
1】“연구논문 未제출 및 지연제출자 연구비 未회수
현황”과 같이 2014년부터 2016년도까지 위 AP 등 교
원 10명이 동서프론티어 연구과제 연구결과물을 제
출 기한 내 제출하지 않았음에도 연구비 합계
47,841,80원을 회수하지 않은 사실이 있음.
【연구논문 사사 표시 부적정】………………………… ②
- 동서대학교는 AQ가 2016년도 동서프론티어 연구과제
(과제명 : “ㅈ”, 연구기간 : ’16. 12. 1. ~ ’17. 1. 30., 지원액 : 4,50천
원) 연구결과물로 사사 표시가 없는 ‘ㅈ’(게재지 :
International Information Institute) 논문을 제출하였음에도
연구비 4,50천원을 회수하지 않는 등 【붙임2】“사사
未표시 및 이중표시 연구논문 제출자 연구비 未회수
현황”과 같이 2015년도부터 2016년도까지 위 AQ 등
교원 2명이 동서프론티어 연구과제를 수행하면서 연구
결과물로 사사 표시가 없거나 이중 사사를 표기한 논
문을 제출하였음에도 연구비 합계 10,468,090원을 회
수하지 않은 사실이 있음."
2020,동서대학교,종합감사,旣게재 논문 연구과제 결과물 제출,"◦ ｢동서대학교 연구윤리규정(207. 4. 1. 제정, 2016. 1. 1. 개정)
제4조에 따르면 자신의 이전 연구결과와 동일하거나
실질적으로 유사한 저작물을 게재·출간하여 본인의 연구
결과 또는 성과·업적 등으로 사용하는 행위를 금지하고
있고, 동 규정 제4조의 2에는 ""부당한 중복게재""는
연구자가 자신의 이전 연구결과와 동일 또는 실질적으로
유사한 저작물을 출처표시 없이 게재한 후, 연구비를
수령하거나 별도의 연구업적으로 인정받는 경우 등
부당한 이익을 얻는 행위로 규정하고 있으며, 동서대
학교 교내연구비관리규정(201. 4. 1. 개정) 제7조에 따르면
연구과제 구분별 연구결과물은 과제 공고 시 별도로
안내된 일정에 따라 제출하도록 되어 있고, 2015∼
2017년도 동서프론티어과제 지원사업 공고 에 따르면
연구결과물은 연구 시작 후 6개월 이후 게재된 논문만
인정한다고 되어있는데도,
- 동서대학교 AR은 2015. 1. 4. 학술지(Journal of Travel &
Tourism Marketing)에 이미 접수(‘15. 7. 30.)한 논문(ㅊ)과
동일 연구내용으로 2015년도 동서프론티어 연구과제
를 신청(연구기간 : ‘15.12.1. ∼ ’16.1.30.)하여 연구비 8,910
천원을 지원받은 다음 2016. 8. 26. 위 학술지에 게재된
논문(‘15. 12. 7. 게재확정)을 첨부하여 연구실적물로 제출하는
등 【붙임】“선행논문 연구결과물 제출 현황”과 같이
2015년도부터 2017년도까지 위 AR 등 교원 3명은 동
서프론티어과제 연구비 합계 14,40천원을 지원받은 다
음 학회지에 이미 게재된 논문을 당해과제 연구결과물
로 제출한 사실이 있음."
2020,동서대학교,종합감사,직무발명 未신고,"◦ 「발명진흥법」제10조 제1항 및 제12조에 따르면 직무
발명에 대하여 종업원 등이 특허, 실용신안등록,
디자인등록을 받았거나 특허 등을 받을 수 있는 권리를
승계한 자가 특허 등을 받으면 사용자 등은 그 특허권,
실용신안권, 디자인권에 대하여 통상실시권을 가지고,
종업원 등이 직무발명을 완성한 경우에는 지체없이 그
사실을 사용자 등에게 문서로 알려야 한다고 되어 있으며,
동서대학교 지적재산권에 관한 규정 제2조 및 제6조
에 따르면 ""직무발명""이란 교직원 등이 재직 중에 직무와
관련하여 발명한 것이며 성질상 대학의 업무 범위에
속하는 경우를 말하며, 교직원이 직무발명을 하였을 경우
반드시 발명 신고서 및 명세서를 구비하여 지식재산권
관리위원회에 제출하여 직무발명을 신고하여야 한다고
되어있는데도,
- 동서대학교 AS는 2017. 12. 8. ‘ㅋ’을 직무발명하고도
지식재산권 관리위원회에 신고하지 않는 등【붙임】
“직무발명 未신고 현황”과 같이 203. 2.부터 2020. 4.까
지 위 AS 등 교수 3명이 총 3건의 직무발명을 하고도
지식재산권 관리위원회에 신고하지 아니한 사실이 있
음"
2020,동서대학교,종합감사,교외연구과제 회의비 집행 부적정,"◦ ｢산업교육진흥 및 산학연협력촉진에 관한 법률 시행령
제27조 따르면 산학협력단의 회계처리는 신뢰할 수 있도록
객관적인 자료와 증거에 따라 공정하게 처리하여야
하고, 국가연구개발사업의 관리 등에 관한 규정 제
12조의2 및 제19조에 따르면 연구개발비를 사용할 때
에는 연구목적 및 연구개발비의 사용계획에 맞게 사용
하도록 노력하여야 하며, 연구개발비를 부당하게 집행한
금액이 있는 경우에는 해당 금액을 회수할 수 있고,
동서대학교 연구윤리규정 제3조의2에 따르면 사실에
기초한 정직하고 투명한 연구를 수행하며, 연구비 집행
과정의 윤리적 책임을 견지하여야 하고, 국가연구개발
사업 연구비관리 매뉴얼(한국연구재단) 및 동서대학교
연구비·교외지원사업 사업비 관리 시행세칙 에 따르면
연구책임자는 회의비 집행 일시, 장소, 참석자, 회의목적
및 내용 등이 명시된 회의록을 작성하고 관련 증빙자료를
첨부하여 연구비를 신청하여야 한다고 되어 있는데도,
- 동서대학교 AT는 “ㅌ(지원기관 : 한국연구재단, 기간 : ’17. 7.
1. ~’18. 6. 30. 연구비 : 21,148천원)” 과제를 수행하면서 2018.
4. 2. “♤♤(부산 사상구 소재)”에서 식대 80,00원을 연구
비 법인카드로 결제하고 해외 일정으로 회의에 참석
하지 않은 같은 학부 AU가 참석한 것으로 회의록을
작성하여 회의비 집행 증빙자료로 제출하는 등【붙
임】“회의 未참석자 회의비 집행현황”과 같이 2017.
부터 2019. 1.까지 위 AT 등 교수 7명은 국가연구과제
를 수행하면서 해외 일정으로 회의에 참석하지 않은 동
료 교수가 회의에 참석한 것으로 회의록을 작성하고
회의비 집행 증빙자료로 제출하여 회의비 총 14건 합
계 2,19,540원을 집행한 사실이 있음."
2020,동서대학교,종합감사,ACE+사업 교재개발비 수령 및 지급 부적정,"◦ ｢사학기관 재무·회계 규칙 제4조에 따르면 사학기관의
재무와 회계는 건전하게 운영하여야 하고, 대학자율
역량강화지원사업(ACE+
) 관리 운영에 관한 훈령 제32조에
따르면 부정확한 집행 증빙은 사업비 목적외 사용으로
보고 있으며, 동서대학교 대학자율역량강화지원사업
(ACE+
) 운영규정 제13조에 따르면 사업비의 집행은
집행계획에 근거하여 처리하여야 하고, 동서대학교
대학자율역량강화지원사업(ACE+
) 집행관리 지침 에 따르면
기존 교원에게 사업추진을 위한 부가적인 업무수행으로
수당 등을 지급하는 경우 사업계획에 명시된 활동에
따른 성과물이 있어야 하고, 지급 시에는 반드시 구체적
이고 타당한 기준에 근거하여야 한다고 되어 있는데도,
- 동서대학교 AV는 2020. 1. 10. 2019년도 1학기 교양강
좌(ㅍ) 강의에 사용한 교재를 위 대학 대학자율역량강
화지원사업(ACE+
) 세부 사업인 “♧♧대학교 교차 교양
강좌(2019학년도 2학기 ㅎ 학과, 학내간 대학간 협력계획)” 성과
물(신규 개발교재)로 제출한 사실이 있으며,
- 동서대학교 대학자율역량강화지원사업(ACE+
) 사업단은 위
AV가 제출한 성과물에 대해 구체적이고 타당한 기준에 근
거한 확인* 없이 교재 개발비 1,650천원을 지급한 사실이
있음
* 사업추진을 위한 부가적인 업무수행에 따른 인센티브가 아닌
신규 교재 개발이 필요한 교재 개발비로 사업비 집행계획 수립 후
제출 성과물 미검증"
2020,동서대학교,종합감사,대학혁신지원사업 원고료 초과 지급 등,"◦ 「사학기관 재무·회계 규칙」제4조 및 제21조에 따르면
사학기관의 재무와 회계는 건전하게 운영하여야 하고
국가의 정책과 사회의 공공기관으로서의 의무와 그
설립목적에 반하여서는 아니 된다고 되어 있고,「대학
혁신지원사업 관리운영규정」제34조에 따르면 대학의
장은 선량한 관리자의 주의와 의무로서 사업비를 사용
하고 관리하여야 하며,「대학혁신지원사업 사업비 집행
및 관리기준(한국연구재단)」및「동서대학교 대학혁신
지원사업 집행관리 지침」에 따르면 모든 사업비는 사업의
목적에 부합하는 범위 내에서 집행 가능하고,「동서대학교
대학혁신지원사업 T.H.E. 교과목 운영 계획(수업운영보고서
작성지침)」에 따르면 학생들이 직접 작성한 과제물, 평가지
등은 별첨 처리하고 작성 분량에서 제외하여야 하는데도,
【원고료 과다 지급】…………………………………… ①
- 동서대학교 대학혁신지원사업단은 2020. 1. 1. AW가 학
생들이 작성한 과제물 15페이지 분량이 포함된 ‘T.H.E.
교과목 운영 수업운영보고서’를 제출하였는데도 원고
분량에 포함 계산하여 원고료 280천원을 더 지급하는 등
【붙임1】“T.H.E. 교과목 운영 원고료 과다 지급 현
황”과 같이 2019. 12.부터 2020. 2.까지 위 AW 등 교원
30명이 학생들이 작성한 과제물이 포함된 수업운영보고
서를 제출하였는데도 원고 분량에 포함 계산하여 원
고료 합계 6,46,030원을 더 지급한 사실이 있음.
【원고료 중복 수령】------------------- ②
- 동서대학교 AX는 2019. 12. 31. ‘ㄲ 교과목 운영’ 보고서
를 제출하여 원고료 1,00천원을 지급받은 다음, 2020.
1. 16. 위 보고서와 32페이지가 중복되는 내용으로 ‘ㄲ’
보고서를 제출하여 원고료 640천원을 중복 지급받는 등
【붙임2】“원고료 중복 수령 현황”과 같이 2019. 10.부터
2020. 1.까지 위 AX 등 교원 3명은 중복되는 내용이 포
함된 보고서를 각 제출하는 방법으로 원고료 합계 1,580
천원을 중복하여 지급받은 사실이 있음"
2020,동서대학교,종합감사,철거물 처리 부적정,"◦ 사학기관 재무·회계 규칙 제4조 및 제6조에 따르면
법인과 학교의 재무와 회계는 건전하게 운영하여야 하며
국가의 정책과 사회의 공공기관으로서의 의무와 그
설립목적에 반하여서는 아니되고, 법인과 학교의 모든
수입은 각각 세입세출예산에 편입하여야 하며, 이를
직접 사용하지 못한다고 되어있고, 동서대학교 재무·
회계규정 제4조에 따르면 본교의 모든 수입은 각각
세입, 세출예산에 적용하며, 이를 직접 사용하지 못한
다고 되어 있는데도,
- 동서대학교는 2017. 7. 17. ㈜☆☆(대표 AY)와 계약체결
한 “보건의료관1 및 디자인홀 냉난방기 교체공사(계약
금액 172,50천원, 준공일 2017. 8. 6.)”를 시행하면서 공사 중
철거한 실내기 21개 및 실외기 2개의 고철비용 125천원
상당의 수입을 세입예산에 적용하지 아니한 채 시공
업체가 임의로 처리하도록 하는 등【붙임】“실내기,
실외기 철거 및 처리 현황”과 같이 2017. 6.부터 2017.
8.까지 위 보건의료관 1 및 디자인홀 냉난방기 교체공사
등 3건의 공사에서 철거한 실내기, 실외기 합계 3개
의 고철비용 197천원 상당의 수입을 세입예산에 적
용하지 아니한 사실이 있음."
2020,동서대학교,종합감사,시설공사 산업안전보건관리비 정산 부적정,"◦ 사학기관 재무·회계 규칙 제4조에 따르면 법인과 학교
의 재무와 회계는 건전하게 운영하여야 하고, 건설업
산업안전보건관리비 계상 및 사용기준 제8조에 따르면
발주자는 공사금액에 계상된 산업안전보건관리비(이하
“안전관리비”)를 계약자가 다른 목적으로 사용하거나
사용하지 않은 안전관리비에 대하여 이를 계약금액에서
감액조정하거나 반환을 요구할 수 있도록 되어 있는데도,
- 동서대학교는 2019. 9. 25. ㈜●●(대표 AZ)와 계약 체결
한 “International Colege 스튜디오 환경구축공사(계약
금액 58,00,00원, 준공일 2019. 1. 28.)”를 준공처리하면
서 공사금액에 계상된 안전관리비 중 계약자가 사용증
빙으로 제출한 전자세금계산서의 발행내역이 조회되지
않는데도 집행된 것으로 되어 있는 1,170,00원을 감액조
정하거나 반환을 요구하지 않는 등【붙임】“시설공사
안전관리비 정산 부적정 현황”과 같이 2017. 12.부터 2020.
2.까지 위 공사 등 8건의 공사를 준공처리하면서 공사
금액에 계상된 안전관리비 중 계약자가 사용증빙으로
제출한 전자세금계산서의 발행내역이 조회되지 않는
데도 집행된 것으로 되어 있거나, 전담안전관리자의
인건비 지출증빙자료가 미흡하거나, 시공이나 작업을
용이하게 하기 위한 목적이 포함된 안전시설비 등 안
전관리비를 부적정하게 집행한 금액합계 14,968,00원을
감액조정하거나 반환을 요구하지 아니한 사실이 있음"
2020,동서대학교,종합감사,시설공사 하자검사 부적정,"◦ 동서대학교 구매 규정 제16조에 따르면 이 규정에
명시하지 않은 사항은 국가를 당사자로 하는 계약에
관한 법률 , 같은 법 시행령 및 같은 법 시행규칙
과 사학기관 재무회계 규칙 이 정하는 바에 의한다고
되어 있고, 국가를 당사자로 하는 계약에 관한 법률
시행령 제61조 제1항에 따르면 계약담당자는 하자
담보책임기간 중 연 2회 이상 정기적으로 공사 하자를
검사하도록 되어 있으며, 공사계약 일반조건 제35조
제2항에 따르면 하자담보책임기간의 만료일 이전 14일
이내에 따로 최종검사를 실시하도록 되어 있는데도,
- 동서대학교는 2017. 6. 2. ㈜☆☆(대표 AY)와 계약 체
결한 “UA-RIC 냉난방기 교체공사(계약금액 49,50천원)”에
대하여 하자담보책임기간(2017. 7. 12.~2019. 7. 1.) 중 정기
하자검사 및 최종검사를 실시하지 아니하는 등 【붙
임】“하자검사 및 최종검사 未실시 현황”과 같이 201
7. 7. 12.부터 2020. 4. 감사일 현재까지 위 UA-RIC 냉난
방기 교체공사 등 공사 49건에 대하여 하자담보책임
기간 중 정기하자검사 및 최종검사를 실시하지 아니
한 사실이 있음."
2020,동서대학교,종합감사,가설건축물 설치 및 사용 부적정,"◦ 건축법 (시행 203. 1. 1.) 제15조 제2항, 같은 법 시행령
(시행 203. 1. 1.) 제15조 제5항 제8호에 따르면 임시사무실·
임시창고 또는 임시숙소로 사용되는 컨테이너는 그
건축물의 존치기간을 정하여 착공 5일전에 시장·군수·
구청장에게 신고하도록 되어 있음에도,
- 동서대학교는 203년경(추정) 부산광역시 사상구청장에게
가설건축물 설치신고를 하지 않고 응용공학관 남쪽에
가설건축물인 컨테이너 1개동(18㎡, 3m×6m)을 설치하고
2020. 4. 감사일 현재까지 청소도구 창고 용도로 사용
하는 등 【붙임】“가설건축물 설치 未신고 현황”과
같이 203년부터 205년까지(추정) 부산광역시 △△구
청장에게 가설건축물 설치신고를 하지 않고 위 컨테
이너 등 3개동을 설치하고 2020. 4. 감사일 현재까지
청소도구 창고용도 등으로 사용하고 있는 사실이 있음."
2020,동서대학교,종합감사,시설물 난간 안전관리 부적정,"◦ 건축법 시행령 (시행 191. 12. 31.) 제4조 제1항에 따르면
옥상광장 또는 2층 이상의 층에 있는 노대* 기타 이와
유사한 것의 주위에는 높이 1.1m 이상*의 난간을 설치
하여야 하는데도,
* 2층 이상의 양옥에서 건물 벽면 바깥으로 돌출되어 난간이나
낮은 벽으로 둘러싸인 뜬 바닥이나 마루
* 205. 7. 18. 개정되어 난간 높이가 1.1m에서 1.2m로 상향
- 동서대학교는 192. 2. 보건의료관 2층 노대에 설치한
난간을 2020. 4. 감사일 현재까지 높이가 법정기준(1.1m
이상) 대비 0.21m 낮은 0.89m인 상태로 유지관리하고
있는 등 【붙임】“시설물 안전난간 유지관리 부적정
현황”과 같이 192. 2.부터 199. 7.까지 위 보건의료관
등 4개 건물의 옥상광장 또는 2층 이상의 층에 있는
노대의 난간을 2020. 4. 감사일 현재까지 높이가 법정
기준(1.1m 이상) 대비 0.1~0.65m 낮은 0.45~0.9m인 상태로
유지관리하고 있는 사실이 있음."
