지적건명,지적내용
가족(배우자)수당 수령 부적정," 수원여자대학교 ㅂ 과 교수 AH는 2022. 이혼 판결로 배우자와 부부관계가 아닌데도 이를 학교에 신고하지 않아 2022.9. 감사일 현재까지 월 급여에서 4만 원씩 총 20개월 동안 800,000원을 수령 받은 사실이 있다."
과태료 납부 부적정," 수원여자대학교는【별표】“과태료 납부 현황”과 같이 2021년부터 2023년 동안 신규 채용한 교직원에 대한 고용보험의 취득·상실 신고 및 학교 건물에 대한 방화 및 안전조치 등을 제대로 하지 않아 총 8건, 합계 4,562,000원의 과태료를 교비로 집행하였다."
자문료 등록금회계 집행 부적정," 수원여자대학교는【별표】“자문료 등 등록금회계 집행 현황”과 같이 2021. 2.까지 총 17차례에 걸쳐 자문료 등 합계 46,970천원을 등록금회계로 집행한 사실이 있다."
장기근속 포상 대상자 선정 부적정," 수원여자대학교는【별표】“근속기간 미달 장기근속 포상 대상자 선정 현황”과 같이 2021학년도부터 2022학년도까지 근속기간 중 휴직 기간을 제외하지 않고 근속기간에 포함한 결과 근속기간에 미달한 교원 2명을 장기 근속 포상 대상자로 선정하여 상금 합계 3,000천원을 지급한 사실이 있다."
예산집행 계정과목 미준수," 수원여자대학교는 2021. 2.까지【별표】“홍보비 목적 외 집행 현황”과 같이 총 61차례에 걸쳐 회의비, 출장비 등 계정과목에서 집행해야 할 경비 합계 70,300,880원을 홍보비 과목에서 집행하였다."
장학금 지급 부적정," 수원여자대학교는【별표】“수업연한 초과자 교내장학금 지급 현황”과 같이 2021학년도부터 감사일 현재까지 수업연한을 초과한 학생 8명에게 장학금 합계 13,410,020원을 지급한 사실이 있다."
지식재산권 관리 부적정, 수원여자대학교 ㅅ 과 부교수 AI 등 3명은 “지식재산권 개인명의 출원·등록 현황”과 같이 2013. 4.까지 총 3건의 발명을 산학취업처에 신고하지 않고 개인 명의로 출원·등록한 사실이 있다. 【표 2】지식재산권 개인명의 출원·등록 현황
평가인정 학습과정 운영 일시중단 미신고, 수원여자대학교 부설 ◈◈은【별표】“평가인정 학습과정 운영 일시 중단 미신고 현황”과 같이 2021학년도부터 2023학년도까지 ‘보육실습’ 등 총 49개 학습과정을 운영하지 않았음에도 국가평생교육진흥원에 신고하지 않은 사실이 있다.
시설공사 법정경비 미정산," 수원여자대학교는 2021. “▲▲ 공사 (공사기간 2021. 14.) ”를 준공처리하면서 공사금액에 계상된 산업안전보건관리비 등 법정 경비 1,601천원의 사용 여부가 확인되지 않았는데도 감액 조정하지 않는 등 ［ 별표 ］ “시설공사 법정경비 미정산 현황”과 같이 2021. 3.까지 총 10건의 시설공사를 준공처리하면서 계약금액에 계상된 법정경비를 사용실적에 따라 정산하지 않고 계약상대자가 요구한 공사금액을 그대로 인정하여 지급함으 로써 정당 금액보다 34,098천원의 공사비를 과다 지급하였다."
공사 입찰 참가자격 중복 제한 부적정," 수원여자대학교는 2021. 예정금액 94,000천원의 “▶▶공사”를 입찰공고하면서 입찰에 참가할 자격을 공사실적은 3년 이내 1.4억원이상, 입찰참가 업체 소재지는 서울·경기·인천, 신용평가등급 은 ‘B’이상으로 중복 제한하는 등 ［별표］“경쟁입찰 참가자격 중복 제한 현황”과 같이 2021. 1.까지 전체 15건의 시설공사 (계약금액 합계 3,418,321천원) 에 대해 입찰에 참가할 자격을 명시 하면서 공사실적과 재무상태, 사업장 소재지를 중복적으로 제한하여 입찰을 실시"
시설공사 설계변경 부적정," 수원여자대학교는 2023. ㈜ ▼▼(대표 정문영) 과 계약한 “ ◀◀ 공사 (공사기간 2023. 24.) ”의 진행과정에서 공사량이 증가하여 2023. 계약금액을 당초 759,780천원에서 1,013,300천원으로 253,520천원을 증액하는 변경 계약을 체결하면서 공사량이 증가된 품목 (페인트 PT-01) 단가를 계약단가 (3,090원/㎡) 보다 1,545원 높은 단가 (4,635원/㎡) 를 적용하는 등 ［별표］ “시설공사 설계변경 부적정 현황”과 같이 총 18개 품목에 대한 설계변경을 처리하면서 16개 품목은 기존 계약단가 보다 높은 단가를 적용하였을 뿐만 아니라 신규품목 2개의 단가는 조정된 단가를 적용하지 않고 계약금액을 조정하여 공사비 합계 20,752 천원을 과다 계상하여 계약금액을 조정한 사실이 있다."
