지적건명,지적내용
"보직 임용자 교원 임용 허위보고 등 부당","그런데 웅지세무대학교는 2022. 부총장으로 보직발령된 D 에 대하여 관련 법령에 따른 ‘ 교원임용절차 ’ 가 없었음에도 2022. 전문대학교육협의회로 ‘ 조교수 신규임용 보고 ’ 를 하였고 , 2022. 총장으로 보직발령된 설립자 A 에 대해서도 관련 법령에 따른 ‘ 교원임용절차 ’ 가 없었음에도 인사기록카드에 조교수로 기재하고 2022 학년도 2 학기 강좌개설대장에 A 를 담당 교수로 표기함으로써 교원 임용의 공정성을 훼손하는 결과를 초래하였다 ."
"교원 신규채용 부당(인사관여 , 채용심사 부적법 등)및 감사방해","채용절차 부실 (채용계획 미수립 , 채용 공고기간 과소) ― 관련자 : 교학처 웅지세무대학교 교학처는 2023 년도 1 학기 교원 신규채용 과정에서 구체적인 채용 계획을 수립하지 않았고 , 2023. 을 초일로 산입 시 적법한 공고기간인 15 일보다 4 일 미달한 총 11 일만을 공고한 사실이 있다 . 인사관여 부적정 (이해충돌) ― 관련자 : C, D C 와 D 는 당시 부총장으로서 ① 2023. 「 2023 학년도 1 학기 신규교원 채용공고 」 공문을 결재하였고 이후 2023. 채용분야에 ♤♤ 과를 추가하고 서류제출기한을 2023. 로 연장하는 내용의 「 2023 학년도 1 학기 교수추가초빙공고 수정 」 공문을 결재하였다 . 이후 C 와 D 는 ② 본인들이 결재한 ‘ 신규교원 채용공고 ’ 에 지원 후 ③ 위법한 채용심사 (적법하게 위촉된 심사위원이 배제된 채 제척대상 심사위원이 면접 실시) 에 피면접자로 참여하였고 , ④ 2023. 본인들의 신규채용과 관련된 교원인사위원회에 인사위원 으로 참여하였으며 (C 와 D 의 2023 학년도 전임교원 신규채용 안건 가결됨) , 결국 전임교원 (조교수) 으로 채용되기에 이르렀다 . 분야인 ♧♧과 스포츠예술경영에 지원 C 와 D 가 자신들의 교원 채용을 위해 행한 일련의 위 행위들 (①～④) 은 ‘ 직위를 이용한 인사관여 내지 이해충돌 ’ 행위에 해당하고 , 특히 C 와 D 가 당시 부총장으로서 위법한 채용심사에 참여한 부분은 단순한 인사관여를 넘어 공정해야 할 채용 절차를 형해화한 것으로 그 비위의 정도가 매우 심하다고 보아야 한다 (아래 ‘ 라 .’ 항 에서 관련사항 후술함) . 제척대상 채용심사위원 위촉 ― 관련자 : 교학처 웅지세무대학교는 위 채용과정에서 기초심사와 전공심사를 겸한 서류심사 위원으로 웅지학원 B, 교학처장 T, 설립자 A 를 위촉하고 , 면접심사위원으로는 B 와 A 를 위촉하였다 . 그런데 A 은 당시 지원자였던 C (A 의 배우자) , D (A 의 사촌형수) 과 친족 관계로 관련 법령이 정하는 제척대상이었다 . 채용심사 부적법 및 감사방해 ① 채용심사 부적법 ― 관련자 : B B 는 2024. 실지감사 시 2023 년도 1 학기 교원 신규채용 관련 감사자와 실시한 문답에서 , 당시 자신이 서류 ‧ 면접심사위원으로 위촉되어 직접 해당 심사에 피하지 않았고, D와 C도 기피신청을 하지 않았다. 참여한 바 있으며 본인 명의로 서명 , 날인된 서류심사표 6 부와 면접심사표 2 부에 기재된 심사대상자의 점수 역시 본인이 직접 기재한 것이라는 취지로 진술한 사실이 있었다 . 또한 당시 신규채용 지원자였던 C 와 D 의 경우에는 2024. 실지감사 시 감사자와의 문답에서 B 가 면접심사위원으로 참여한 사실이 있다는 취지로 진술하였고 , C 는 2024. 추가 실지감사 시까지 해당 진술을 유지하였다 . 그런데 ① B 는 2024. 추가 실지감사 시 서류 ‧ 면접심사에 본인이 참여 하여 심사를 한 적이 없으며 심사표는 불상인에 의해 작성된 것임을 인정 한 후 2024. 제출한 답변서에는 A 에게 심사를 일임하여 A 가 채용심사표를 작성하였음을 인정한 점 , ② D 의 경우에도 2024. 추가 실지감사 시 B 가 면접심사에 참여한 사실이 없고 A 만이 면접심사를 하였다고 진술한 점 , ③ 결국 웅지학원은 2024. 자 답변서에서 B 의 위임에 따라 A 가 서류 ‧ 면접심사표를 작성한 것임을 인정한 점에 비추어 B 가 채용심사에 심사위원으로 참여하지 않았음은 명백하고 , 적법하게 심사위원으로 위촉된 B 가 제외된 채 제척 대상인 A 의 참여하에 이루어진 당시 채용심사는 그 자체를 위법 ․ 무효로 보아야 한다 . ② 감사방해 (허위진술) ― 관련자 : B, C, D 또한 B 가 채용심사위원으로 참여하였다는 취지의 B, C, D 의 각 진술 은 허위임이 확인된바 , 이는 ｢ 공공감사에 관한 법률 ｣ 제 41 조가 정하는 ‘ 감사방해 ’ 에 해당한다 . ｢ 표1 ｣ 허위진술 내역 실지감사(’24.7.24.) 추가 실지감사(’24.10.28.) 허위 진술 횟수 B 본인이 서류 ‧ 면접심사 참여(허위) 본인이 서류 ‧ 면접심사 참여× 1회 C B 면접심사 참여(허위) B 면접심사 참여(허위) 2회 D B 포함 다수인 면접심사 참여(허위) B 면접심사 참여× 1회 C와 D이 위법한 면접심사에 스스로 참여한 것으로, 채용 전반에 책임이 있는 부총장으로서 위법한 채용심사에 지원자로 참여한 부분에 대해 비난가능성이 매우 높다고 보아야 한다(‘나.’항에서 관련사항 전술함). 작성하였다고 진술한 부분 / C가 2024. 실지감사와 2024. 추가 실지감사 시 감사자와의 문답에서 B가 면접심사위원으로 참여하였다고 진술한 부분 / D이 2024. 실지감사 시 B가 면접심 사위원으로 참여하였다는 취지로 진술한 부분 이상과 같은 문제점들을 표로 정리하면 다음과 같다 . ｢ 표2 ｣ 지적사항 정리 채용절차 채용공고 채용심사 교원인사위원회 √ 채용계획 미수립 √ 공고기간 과소 √ A 심사위원 위촉 ☞ 지적사항: 절차부실(가) ☞ 지적사항: 제척대상 심사위원 위촉(다) √ 채용 공고 결재 후 채용 지원 √ 위법한 채용심사 참여 √ 인사위원 참여 ☞ 지적사항: 인사관여(나) √ 심사 관련 허위 진술(B 참여) ☞ 지적사항: 감사방해(라 ②) √ 심사위원직A에게 일임 ☞ 지적사항: 채용심사 부적법(라 ①) √ 심사 관련 허위 진술(B 참여) ☞ 지적사항: 감사방해(라 ②)"
"강사 임용 결격자 전공강의 부당","그런데도 , 웅지세무대학교가 ʹ 22. 2 학기부터 ʹ 24. 1 학기까지 특별교육프로그램을 운영할 때 , 담당교원 (C, D) 은 회계 ‧ 세무 비전공자 (C 는 ☆☆ 학 , D 은 ●● 학) 로서 강의 계획 ‧ 성적관리 등을 담당하였고 , A 는 ｢ 고등교육법 ｣ , 「 국가공무원법 」 등에 따른 교원 자격기준을 충족하지 못하는 결격자에 해당하지만 실무전문가로서 강의를 담당하였다 . 공무원법」 제33조(결격사유) 제4호(금고 이상의 형 집행유예 선고 및 그 유예기간이 끝난 날부터 2년이 지나지 아니한 자)에 따라 ʹ 22. 8.까지 총 6년간(집행유예 4년 + 유예 종료 후 2년) 강사 등 교원 임용이 불가 본 건의 실무전문가는 ｢ 고등교육법 ｣ 제 14 조 (교직원의 구분) , 제 14 조의 2 (강사) , 제 17 조 (겸임교원 등) 에 따른 교원의 한 형태로 볼 수 있고 , 실무전문가가 단순한 강의 보조가 아닌 실제 교원 내지 강사와 동일하게 강의를 담당하였기 때문에 , 교원 및 강사 자격조건을 적용하여 임용 절차를 거쳐야 하며 , 교원자격 인정에 대해서는 ｢ 국가공무원법 ｣ 제 33 조 (결격사유) 에서 정하는 결격사유가 적용된다 . 따라서 실무전문가 A 는 교원 (강사 등) 임용 절차가 없었고 임용도 불가하므로 위법하다고 할 수 있다 . 한편 , 특별교육프로그램 교수 D 는 교원 임용 절차 없이 ʹ 22. 부총장 보직 임용 만으로 ʹ 22. 2 학기에 회계 ‧ 세무 전공과목을 담당하였고 , 교수 C 는 교원 임용 절차에 하자가 있음에도 ʹ 23. 1 학기에서 ʹ 24. 1 학기까지 회계 ‧ 세무 전공과목을 담당하였다 . 이와 관련 교육부는 특별교육프로그램에서 강의를 담당한 실무전문가 A 는 대학 전공수업에서 강사 등 교원이 될 수 없는 결격자에 해당하므로 관리회계 , 법인세법 등 전공과목을 강의하지 못하도록 ｢ 고등교육법 ｣ 제 60 조에 따라 총 4 차례 (ʹ 23.5.18., 6.21., 8.22., 11.15.) 대학에 시정명령을 하였으나 , 대학은 감사일 현재까지 시정명령을 이행하지 않고 있다 ."
"A, 자체제작 동영상 공급계약 및 교비 집행 부당","결격자 (A) 에 의한 동영상 강의 대금 지급 부적정 A 는 교비 횡령죄 등으로 2015. ’ 임원취임승인취소 (이하 “ 임취 ”) ‘ 되고 , 강의 무자격으로 ’ 강의를 중단하라 ‘ 는 교육부 시정명령을 무려 4 차례나 (ʹ 23.5.18., 6.21., 8.22., 11.15.) 받았지만 이를 무시한 채 , 학교는 개교 이후부터 교육과정에 A 가 제작한 동영상을 임의로 학생들이 사실상 의무적으로 시청하도록 한 수업 (일명 ’ 플립러닝 수업 ‘) 을 실시하였고 , 2020 학년도 이후에야 학칙에 반영하여 실시해 오고 있다 . 학교 측은 플립러닝 수업은 학생들에게 꼭 필요한 것이며 , 2020 학년도부터는 학칙 개정으로 동 수업에 근거를 마련하였기 때문에 문제없다고 주장하나 , 2020.3.16. 학칙 제36조(수업)를 개정하였으나, 2004년 학교설립 당시부터 2019학년도까지 근거 없이 운영해 옴. 동 수업이 ’ 결격자에 의한 수업 ‘ 이고 , 학칙 개정여부와 상관없이 해당 동영상을 학생들이 사실상 의무적으로 시청하도록 한 점에는 변함이 없어 부당하다 . 또한 , 웅지세무대학교는 A 와 독점 계약을 통해 동영상 제공 대가를 과 같이 고정적으로 교비에서 집행한 사실이 있다 . 동영상 공급계약 현황 계약일 기간 금액 업체명 총장 2014~2016학년도 학기당 6.3억 ▲▲ (총 6학기) (연 12.6억, 총37.8억) (대표A) 2017학년도 학기당 5억 ㈜▶▶ C (총 2학기) (연 10억) (W) (A 妻) ③ 미상 2018~2021학년도는 ‘코로나 19’으로 중단 ④ 2022.6.1. 당 100만 원을 곱한 금액 A +2억 원 (졸업생 및 휴학생 포함) 이와 관련한 동 동영상 공급 계약이 특수관계자에 의한 부당한 계약이라는 민원이 2015. 교육부로 제기되자 , 학교는 동 계약을 2015. 로 해지통보 하여 교육부에 민원이 해결되었다고 보고했으나 2024. 교육부 감사 결과 , 업체 명의만 타인으로 돌렸을 뿐 동 계약은 계속되고 있었다 . 그뿐만 아니라 , 최근 A, C 등에게 제기된 소송 판결문을 보면 해당 동영상의 활용도가 낮고 , 제작 과정이 단순하여 비용이 많이 들지 않았다고 적시하고 있는데 , 이를 고려하면 학교가 불필요한 계약을 통해 A 에게 재산상 이익을 챙겨준 것이라 볼 수 있다 . 불합리한 손해배상액의 지급 부적정 학교 측과 A 는 상기 과 같이 2014. 2014~2016 학년도 (6 개 학기) 동안 동영상 공급 계약 (표 1, ① 번) 을 체결하였는데 , 2015. 교육부에 민원이 제기되자 이를 해결하기 위해 2015. 계약을 해지하였다 . 그런데 , 채권소멸시효 (단기 3 년) 가 완성된 시점인 2018. 이후는 채무를 상환할 의무가 없는데도 , 4 년이 이미 경과한 2022. 상기 계약이 학교의 귀책 (교육부 권고에 따른 학교의 일방적 계약해지로 동영상 공급업체인 ▲▲ (A 설립업체) 가 손해를 입었다 .) 으로 해지되어 , 발생한 미지급금 1,890,000,000 원 (학기당 6.3 억 × 3 학기분 (2015 학 년 도 2 학 기 , 2016 학 년 도 1,2 학 기 분)) 과 그에 따른 업체 (▲▲) 의 은행 미상환금 200,000,000 원 , 총 2,090,000,000 원을 와 같이 학교가 업체에 손해배상한다는 부당한 ’ 합의서 ‘ 를 A 와 C 가 작성하였다 . 웅지세무대학교는 ▲▲와의 동영상공급계약 (계약기간: 2014.3.1.~2017.2.28., 공급가액: 매학기당 6억 3천만 원) 을 교육부의 권고로 2015년 8월에 일방적으로 해지함에 따라 ▲▲에 경제적인 손해를 입혔으므로, 이를 배상하기 위해 ▲▲와 다음 사항에 대해서 합의한다. 웅지세무대학교는 계약해지로 ▲▲에 지급하지 않은 공급대가 18억 9천만 원(6.3억×3학기)을 지급하되, 계약해지에 따라 ▲▲가 상환하지 못한 ◧◧ 은행 차입금 2억 원을 우선 변제한다. ▲▲는 웅지세무대학교부터 지급받은 16억 9천만 원을 전액 웅지세무대학에 기부한다. 단, 동 기부금은 학생들의 실력향상을 위한 용도로 사용해야 한다. 웅지세무대학교 총장 A, ▲▲ 대표 C 그 후 합의서를 근거로 아들 F 는 과 같이 교비를 집행하였는데 , 집행 총액은 2,771,900,000 원 으로 손해배상금 총액 2,090,000,000 과 차액 681,900,000 원 이 발생하여 소명을 요청했지만 학교 측은 답하지 못하였다 . 특정시기 ▲▲ 간 교비 입 ‧ 출금 현황 (금액 단위: 원) ▲▲ 가 입금 교비로 입금 교비에서 출금 비 연번 거래일 (▲▲ 로 송금) 고 입금액 거래시간 잔액 합계 2,771,900,000 2,224,327,492 차액(출금-입금) 547,572,508 그런데 , ’24. 감사 당시는 답하지 못하다가 최근 (‘24.12.19.) 서면 답변에서 , 소명하지 못한 금액 681,900,000 원은 2022 년도 계약 (표 1. ④ 번) 에 따른 미지급 동영상 비용 881,900,000 원 중 일부라고 주장하였다 . 이에 , 당시 공급된 동영상에 대한 실체 확인을 요구하자 “ 현재는 저장된 자료가 지워져 확인해 줄 방법이 없다 ” 며 당시 공급했다는 강의리스트만 보여주었다 . 결과적으로 2022 학년도 당시 강의목적으로 제작한 동영상이 존재했는지 알 수 없고 , 학생들에게 도움이 되지 않아서 불필요한 공급계약을 굳이 체결하여 교비를 낭비할 필요가 없었다 . 아울러 , 위 동영상 공급 계약 해지에 따른 손해배상금에 대한 집행 근거가 2022. 작성한 합의서인데 , 이때 작성한 자들이 A (총 장) 와 C (▲▲ 대 표) 로 , 이들은 특수관계자 (부부관계) 라서 동 합의가 공정했다고 볼 수 없고 , 계약 필요성에 대한 검토자료가 없으며 , 단가 책정의 적정성을 확인할 산출 근거도 없다 . 사립학교법상 교비 집행을 위해서는 여러 절차 (사전품의 및 사후 증빙서류 보유 , 예산편성자와 집행자 분리 , 적정한 내부통제 등) 가 있는데도 , 사무처 직원 (현 부총장) F 는 부모의 지시에 따라 ’ 집행 품의 및 결재 → 지출원인행위 → 지급명령 → 지급 ‘ 등 절차 없이 집행하고 , 구매 관련 일체 서류를 보관하지 않고 있다 . 동 관련 , A 는 ▲▲ 가 가져간 손해배상금 중 일부 금액을 학교에 기부하는 내용을 합의서에 넣어 “ 교비에서 수령한 만큼 기부했기에 문제가 없다 .” 는 주장을 하고 있지만 , 위 에서 알 수 있듯이 학교가 ▲▲ 로 지불한 동영상 비용 (2,771,900,000 원) 과 ▲▲ 가 기부했다고 주장한 금액 (2,224,327,492) 간에 차액 (547,572,508 원) 이 존재하고 , 동 기부액도 일정 금원을 입금 후 바로 인출하여 다시 입금하는 식으로 총액을 부풀린 것이라는 F 의 진술이 있는 점을 감안하면 , 학교 발전을 위한 진정한 기부금이라고 볼 수도 없다 . 따라서 , 상기와 같은 A 가족의 부당한 교비 집행은 ｢ 사립학교법 ｣ 제 29 조 (회계의 구분 등) 제 6 항 및 제 2 항에 따른 “ 교비회계에 속하는 수입이나 재산은 다른 회계로 전출 (轉出) ․ 대여하거나 목적 외로 사용할 수 없도록 한 규정 ” 을 위반했을 뿐 아니라 , 교비 손해액이 최소 5 억 원 이상이라 ｢ 특정경제범죄 가중처벌 등에 관한 법률 ｣ 제 3 조 위반에도 해당된다 . 한다고 해도 교비 손해액은 최소 547,572,508원으로 볼 수 있음."
"기숙사 신축(BTO 방식)추진 부당","웅지세무대학교 (이하 ‘ 학교 ’) 는 설립 시 세무 ‧ 회계분야 전문인력을 양성하고자 학생 전원 기숙사 생활을 하도록 하는 학사시스템을 운용하였으며 , 설립 후 정원 증원 (’04 년 360 명 → ’09 년 1,000 명) 을 계속함으로써 추가 기숙사 (이하 ‘ 제 3 기숙사 ’) 가 필요하게 되었다 . 이에 , A 는 교비나 법인의 투자를 최소화하기 위해 민간투자사업 (BTO) 으로 제 3 기숙사 건축을 교육부로부터 승인받았지만 (표 1 참조) , 실제는 전액 교비가 지출 되도록 하여 , 결국 학교를 재정파탄에 이르게 하였다 (표 2 참조) . 동 사업 추진 시 A 은 웅지세무대학교에서 어떤 보직이나 권한이 없고 , 문서상 으로는 동 사업 추진 주체가 학교법인 이사장 C (A 의 처) 이나 , 실제 사업 추진 주체는 ㈜ ▼▼ (이하 ‘ 시행사 ’) 를 통해 A 가 주관했다 . A 가 시행사를 통해 ◀◀ 은행으로부터 건축자금 대부분 (총 222 억 원 중 190 억 원) 을 대출받았는데 , 이때 ① 미상환시 교비로 보충하는 의무조항 과 ② 구체적인 상환액 마련방안인 ‘ 학교와 기숙사 일부 공간 임대차계약을 통한 최소 교비 (약 116.8 억 원 수익) 보충 방안 (이하 ’ 최소 상환 방안 ‘) ’ 을 교육부에 사전협의 등의 과정을 거치지 않고 대출 약정서를 체결하는 편법을 동원하였고 , 그 결과 2024. 감사일 현재 시행사가 건축자금 (대출금) 을 상환하지 않아 상당한 교비가 투입 (확인 불가) 되면서 학교의 모든 학교 및 법인 업무에 관여할 수 없었음. 동 기간(‘04.3.~’10.2.) 총장은 V이었음. (A) 이사 및 이사장 ’09.3.10.~’11.3.21., 총장 ’22.6.1.~’22.8.25. // (C) 이사장 ’03.3.7.~’07.3.6., ’04.3.~’08.1., 이사 ’15.6.29.~’19.6.28., 부총장 ’23.1.20.~’24.12.17., 총장 ’16.6.23.~’19.12.6., ’24.12.18.~현재 (주))이 자금 부족으로 말미암아 대출약정서에 정한 부채상환적립요구액을 부채상환적립계좌에 적립할 수 없는 경우, ‘갑’(학교법인 웅지학원 및 웅지세무대학교)은 ‘을’이 당해 부채상환적립요구액을 적립하기 위하여 필요한 자금을 출자 또는 후순위대여의 방법으로 ‘을’에게 지원한다. 13.9억 원, 15년간 총 116.8억(평균 연 7.7억 원 수익 창출 가능) 제정된 사립학교법 제28조 (재산의 관리 및 보호) 를 형해화 할 우려가 큰 사안으로 교육부의 지도 ‧ 감독 대상에 해당됨. 계좌가 압류되고 세금 , 공과금 , 교직원 급여가 연체되었다 . 또한 , 학교 비협조로 학교 재정현황을 자세히 파악할 수 없었으나 , ◀◀ 은행 독촉 문서 등을 확인해 본 결과 , 2023. 기준 ◀◀ 은행 최초 대출 원금이 190 억 원이고 연체 원금이 57.1 억 원 (이자포함 65.6 억 원) 인 점을 감안할 때 , 현재 상환된 원금이 132.9 억 원 상당으로 추정되며 , 이 중 상당한 금액이 상기 ① , ② 에 따른 대출약정 조건에 따라 교비로 부당하게 집행한 것으로 보인다 . 상기 BTO 추진에 따른 ◀◀ 은행 대출금 상환과 관련된 지출현황을 파악하고자 했으나 , 학교 측이 당시 관련자가 없음을 이유로 자료를 제출하지 않아 현황 파악이 불가능하였다 . 다만 , 감사 당시 현재 교비회계 관리자 F (A 아들 , 현 부총장) 의 의견을 청취할 수 있었는데 , 그 주장에 따르면 2017 년까지 계약대로 상환되던 중 ’ 코로나 19‘ 감염병 유행으로 학생 수가 감소하여 기숙사 입주가 제한되어 재정이 악화됨에 따라 정상 상환되지 못해 현재 ◀◀ 은행 대출금이 연체 중이라고 하였다 . 학교는 위와 같은 대출상환 부담 영향으로 감사일 현재 국세 및 지방세 미납 , 교직원 임금체납 등 사유로 교육용 (수익용) 기본재산과 학교의 등록금 수입 계좌 (◆◆ 은행 ******-**-******) 를 비롯한 학교 명의 계좌 총 41 개가 압류 상태이다 . 이에 학교는 2024 학년도 등록금 수납을 위해 ◓◓ 금고 계좌를 개설해 거래 중이나 이 또한 압류가 언제 될지 모르는 상태이다 . 위 학교 상황을 알기 위해서는 기숙사 신축과 관련한 교육부 허가 내용과 학교 측이 추진한 ◀◀ 및 시행사 간 체결한 대출약정 내용 등을 살펴볼 필요가 있고 , 그 내용은 아래 과 같다 . 민자유치 보증(재산관리방안) 허가 사항 중 (’08.4.4. 교육부 허가 문서(교육부 전문대학지원과-382(2008.4.4.) 중) 가. 사업명 : 웅지세무대학 제3 기숙사(제1,2기숙사 통합) 민자유치 사업 나. 위 치: 경기도 파주시 탄현면 금승리 536-2 웅지세무대학 교내 다. 건축면적 1,491㎡, 연면적 8,760㎡(지하 2층, 지상 4층) 라. 사업추진방식 : BTO방식 마. 총사업비 : 22,538백만 원/ 제3기숙사 신축비 11,723백만 원(대학측 대응투자 3,200백만 원 포함), 제1기숙사 대학 측 기채잔액 4,075백만 원, 제2기숙사 신축비 미상환액 6,740백만 원 포함 바. 사업조건 에 기숙사 운영권 일정기간 제공 에서 기숙사 사용자와 합의를 통해 결정하여 학생, 학부모로부터 야기되지 않도록 할 것 사. 기숙사 운영권 제공기간 :20년 2008. 교육부가 허가한 사항은 위 과 같이 법인 및 학교 (이하 ‘ 학교 측 ’) 가 교내 제 3 기숙사 신축을 위하여 민간 사업자 (시행사) 의 외부자금을 끌어와 건축한 후 , 소유권 (취득일 ’10.9.3.) 은 바로 학교 측에 귀속하고 , 일정기간 그 시설운영권 (운영개시 일로부터 20 년 , ’09~‘29) 을 시행사에 보장하여 발생한 수익으로 투자금을 회수하는 방식 그런데 , A 가 “ 시행사가 재정적 어려움으로 대출금을 상환하지 못할 때 교비로 보충한다 .” 라는 의무 조항을 교육부 허가 없이 시행사와 협약하고 (’08.1.29.) , 같은 날짜에 동 내용이 포함된 대출약정서를 ◀◀ 은행과 체결함으로써 외부자금 미 상환시 결국 전액 교비가 투입되는 편법 계약을 체결하였다 . 실제로 A 이 추진한 제 3 기숙사 신축 체계를 요약하면 아래 와 같고 특히 , 적서 부분이 교육부 허가 없이 추진한 사항이다 . BTO방식으로 추진한 제3기숙사 신축체계도 교육부의 허가 사항과 달리 학교에 불리한 조건 (① , ②) 으로 대출을 실행한 것은 A 가 투자자금 없이 교비를 쉽게 인출하여 기숙사를 건립할 수 있고 , 시행 사를 통해 발생된 이익도 본인이 챙길 수 있는 방법이었기 때문으로 보인다 . 차계약을 통한 최소 교비 보충 방안(매년 평균 약 7.7억수익) ※동 최소 상환 방안은 학교에 불리한 조항으로 ◀◀ 은행 대출 실행 당시 기숙사 운영수익만으로 대출금 미상환을 우려한 ◀◀은행 담당자를 설득하기 위해 A이 제시한 것이라고 학교 관계자(전 ◇◇장 겸 전 ◈◈단장인 처남 R)가 진술 아래 과 같이 A 에 의해 학교 측과 ’ ◀◀ 은행 ‘ 이 체결한 대출약정서에는 , 동 사업 자금 상환에 문제시 시행사가 학교에 자금 보충 의무를 부과하는 불합리한 규정이 포함되어 있다 . 차주 : ▼▼(주), 돈을 빌려 사업(기숙사 신축 ․ 관리)을 추진하고 기숙사 운영권을 가짐 2. 선순위 대주 : ◀◀은행중앙회, 190억 제공하고 입출금 계좌 지정 및 대출금 우선 상환처 3. 후순위 대주 : 학교법인 웅지학원 및 웅지세무대학, 32억 원내 제공, 차주의 자금보충의무 가짐"
"교비회계 운영 부당","교비회계 未 증빙 수입 · 지출 회계처리 그럼에도 웅지세무대학교는 ‘ 교비회계 未 증빙 수입 · 지출 회계처리 현황 ’ 과 같이 2022 년 ~2023 년 학교회계 수입 총 1,200 건 , 22,159,771,474 원과 지출 총 1,343 건 , 23,570,016,441 원과 관련하여 수입 · 지출에 대한 객관적인 증빙 없이 회계처리를 하였으며 , 회계 관련 장부와 서류를 생산 ‧ 보존하지 않았다 . 교비회계 未증빙 수입·지출 회계처리 현황 (회계원장 기준, 금액단위: 원) 학 교 회 계 연 도 수 입 지 출 비고 건 금 액 건 금 액 나 . 이사회 경비 (회의비) 교비회계 집행 부당 또한 , 웅지세무대학교 前 사무처 주임 (9 급) F (현 부총장) 는 학교법인이 법인회계 세출예산과목으로 지급해야 할 이사회 개최 관련 회의비를 객관적인 자료와 증거 없이 ‘ 이사회 회의 관련 경비 교비회계 지출 현황 ’ 과 같이 2022. ‘ 이사회 거마비 1 차대납 ’ 150 만 원 , ‘ 이사회 2 회차 ‘ 명목으로 150 만 원 , 2023. ’1 차 거마비 ‘ 명목으로 120 만 원을 교비회계 계좌에서 10 차례 총 420 만 원을 계좌이체하였다 . 이사회 회의 관련 경비 교비회계 지출 현황 (회계원장 기준, 금액단위: 원) 연번 예금주 송금날짜 받는이 금액 통장 적요란 1 F 1,500,000 이사회 거마비 1차대납 웅지세무대학교 2022.6.10. 4 - 300,000 이사회 2회차 웅지세무대학교 2023.2.15. 1차 거마비"
"국세 등 미납 및 학교계좌 압류 부적정","국세 등 각종 부담금 미납에 관한 사항 그럼에도 학교법인 웅지학원 및 웅지세무대학교는 “ 국세 등 미납 현황 ” 과 같이 ① 국세 170,400,060 원 , 지방세 591,272,680 원 , 교통유발부담금 43,218,220 원 ② 사학연금 303,397,440 원 ③ 4 대 사회보험료로서 국민연금 12,880,600 원 , 건강보험 71,695,390 원 , 고용보험 3,860,110 원 , 산재보험 1,353,600 원 , 총 1,198,078,100 원을 미납하는 등 공공기관 (학교 및 법인) 으로서의 납부의 의무를 하고 있지 않은 사실이 있다 . 학교계좌 압류에 관한 사항 이와 같은 국세 등 각종 부담금의 미납으로 인하여 웅지세무대학교는 관련 법에 근거하여 수업료계좌 및 별도 계좌로 관리되는 수입계좌는 압류 할 수 없음에도 학교계좌 (◧◧ 은행 580 17407) 등 “ 학교계좌 압류 현황 ” 과 같이 총 3 개 은행사 41 개의 계좌가 압류되어 , ’24.7. 감사일 현재까지 학교계좌에 대하여 압류를 해제하지 않고 방치한 사실이 있다 ."
"시설물 안전관리 부적정","웅지세무대학교는 2023. 까지 여름철 , 장마철 , 해빙기 등 안전점검을 실시하면서 ‘ 생활관 마감재 탈락 현황 ’ 같이 생활관의 마감재 탈락 등으로 인하여 다수의 위험요소가 확인되는데도 ‘ 시설물 안전점검 결과보고 현황 ’ 과 같이 점검 결과 이상 없음으로 교육부에 보고하였을 뿐 아니라 , 감사일 현재까지 위험요소에 대한 교체 및 보수 등의 안전조치를 실시하지 않은 사실이 있다 . (ʹ 24.7.) 생활관 마감재 탈락 현황 제1생활관 누수, 마감재 탈락 제2생활관 누수, 천정재 탈락 제3생활관 마감재 철거 후 방치"
"물품관리 및 재물조사 부적정","웅지세무대학교는 2016 년도 재물조사 (ʹ 16.11.1.~ ʹ 16.11.30.) 를 실시하면서 2003. 까지 구입한 물품 현황에 대해서만 존재 여부를 파악하였고 , 2017 년 이후부터 감사일 현재까지 정기적으로 재물조사를 실시하지 않는 등 ‘ 재 물 조 사 실 태 현 황 ’ 과 같 이 유형 고정자산의 도난 , 망실 , 불용처리 등 재고 여부를 파악하지 않고 2023 학년도 결산 대차대조표의 집기비품 합계 4,791,282 천 원을 계상한 사실이 있다 ."
"생활관 시설관리비 교비회계 지출 부적정","웅지세무대학교는 2021. ◨◨ (주) (대표 AA) 와 ‘ 건물관리용역 (관리 , 미화 , 영선) 계약 (계약금액 월간 16,567 천 원)’ 을 체결하면서 관리업무의 범위 및 대상 에 ▼▼ (주) 에서 부담해야 하는 생활관 (3 동 20,657 ㎡) 의 건물관리용역 을 포함하여 2021. 16,567 천 원을 교비회계에서 지출하는 등 ‘ 건물관리용역비 (경비 , 미화 , 영선) 교비회계 지출 현황 ’ 과 같이 2021. 까지 총 18 회 317,625 천 원을 지급한 사실이 있다 . 그 결과 , 웅지세무대학교는 생활관 민간사업자가 부담하여야 하는 생활관 부분의 관리용역비 96,453 천 원 을 교비회계에서 지출하는 결과를 초래하였다 ."
