지적건명,지적내용
"법인사무처 운영비 집행 부적정","그런데도 학교법인 중앙대학교는【표 2】“집행품의 없이 사용한 운영비 명세”와 같이 2020.4.부터 2023.4.까지 집행목적, 일시, 장소, 집행대상 등을 기재한 집행 품의 없이 총 313회 법인카드로 결제하였다. 【표 2】집행품의 없이 사용한 운영비 명세 2020회계연도 2021회계연도 2022회계연도 2023회계연도 합 계 건수 사용금액 건수 사용금액 건수 사용금액 건수 사용금액 건수 사용금액 그 결과 위 법인카드 결제 건에 대하여 업무관련 등 객관적인 사실관계의 확인 없이 매월 카드회사에서 발송한 고지서만 증빙자료로 첨부하여 기타운영비 에서 14,757,560원을 집행하였다."
"기본재산 이사회 의결 없이 무상 사용","그럼에도 학교법인 중앙대학교는【붙임】“기본재산 무상 사용 현황”과 같이 교육용 기본재산인 경기도 ㄱ 등 5필지 토지 12,240㎡에 대하여 1998. 31.까지 □□시 요청으로 ‘□□맞춤박물관’ 부지로 무상 사용하게 하고 2018. 4.에는 이사회 심의·의결 없이 2031. 18.까지 연장하여 □□시에 무상 으로 사용하도록 하였으며, 수익용 기본재산인 경기도 ㄴ 등 2필지 토지 4,830㎡에 대하여도 이사회 심의･ 의결 없이 2019. 31.까지 □□시 요청으로 ’임시공용주차장’ 부지로 무상 사용하게 한 것으로 확인되었다. 그 결과 학교법인 중앙대학교는 기본재산을 지방자치단체에 공익 목적으로 무상 사용하게 하였지만, 재산의 일반적인 운영･ 관리에 관한 사항을 이사회 심의･ 의결 없이 처리함으로써 학교법인의 책무성을 저해하는 결과를 초래하였다."
"감사자료 허위 제출","그럼에도 중앙대학교 H는 2023. 교육부 재무감사 중에 감사관이 지적한 보험료 미정산 건에 대하여 사전 조치했다는 증빙자료를 제출하면서 실제 2023. △△으로부터 접수한 “ ㄷ 공사 정산 건” 문서를 2023. 접수한 것으로 허위로 기재하여 시설공사 보험료 미정산 관련 소명자료로 제출하였고, 중앙대학교 I와 J는 위 H가 △△으로부터 전달받은 문서의 접수 일자를 허위로 기재한 사실을 알고도 해당 문서에 공람 결재한 것으로 확인되었다."
"업무용(특수목적)차량 사용 부적정","감사일 현재 중앙대학교는 홍보 활동, 유관기관 대상 대외업무 수행, 캠퍼스 간 이동, 물품 운반 등 각종 업무지원을 위해 차량 2대 (카니발, 그랜저) 를 임차하여 특수목적차량으로 사용하고 있다. 그런데 K는【붙임】“업무용 (특수목적) 차량 사적 사용 현황” 같이 2020. 감사일 현재까지 특수목적차량 중 1대 를 공적 목적 외 출·퇴근 을 위해 사적으로 사용하고 학교에서 지정한 차고지에 보관하지도 않았다. 또한 중앙대학교는 위 K가 사적 사용한 유류비 총액 금2,324,500원 을 아무런 검토 없이 그대로 교비회계에서 집행하였다. 종합관리시스템을 활용한 차량운행 일지 작성 총무처 ‘업무용 차량 차량운행일지 작성요청(’21.4.7.) 이후에 K가 작성한 차량운행일지에 공무 목적으로 사용한 일자의 출‧ 퇴근은 개인용도 사용에서 제외하고 산출 차량으로 연비는 차량 등록증에 기재된 16.2㎞/리터로 계산"
"부속병원 보직자 업무추진비 집행 부당","그런데도, 중앙대학교병원 및 중앙대학교 광명병원은 L 등 총 9명의 병원 보직자가【표】“부속병원 보직자 업무추진비 (법인카드) 사적 사용 현황”와 같이 2020. 감사일 현재까지 법인카드를 개인용 약품 구입 등 사적으로 사용하고 청구한 금액 (카드사 명세서) 을 별다른 검토 없이 그대로 병원회계에서 지출하였다. 부속병원 보직자 업무추진비(법인카드) 사적 사용 현황 소속 직 성명 건수 금액 반납일 자신 반납현황 중앙대학교 2023. 자체조사 후 반납 중앙대학교 - O 5 975,000 2023. 자체조사 후 반납 광명병원"
"국가연구개발사업 연구개발능률성과급 지급 관리 부적정","그런데도, 중앙대학교 산학협력단은 【 붙임 】 “연구책임자에 지급된 연구 개발능률성과급 내역”과 같이 2021. 27.까지 참여연구자 163명에게 연구개발능률성과급 합계 815,567천원을 지급하면서, 연구지원 인력을 배제한 채 연구책임자 및 공동연구자에게만 연구개발능률성과급을 지급하였다."
"수의계약 업무처리 부적정(전자조달시스템(G2B)미활용)","그런데, 중앙대학교 산학협력단은【붙임】“국고지원사업 전자조달시스템 (G2B) 미활용 수의계약 체결 현황”과 같이 2020. 3.까지 ｢ 국가계약법 시행령｣ 제26조 제1항 제5호 가목에 따른 수의계약 중 추정가격이 20,000천원이 넘는 총 13건 (추정가액 합계 502,381천원) 에 대해 전자조달시스템 (G2B) 이 아닌 서면으로 견적서를 제출받아 수의계약을 체결하였다. 그 결과, 중앙대학교는 ｢ 산학협력단 회계 처리 규칙｣ 제14조 및 ｢ 국가를 당사자로 하는 계약에 관한 법률 시행령｣ 제30조 제1항 및 제2항 등을 위반하는 결과를 초래하였다."
"전문공사 미등록업체 계약 부적정","그럼에도 중앙대학교병원은 2022. 공사금액 251,700천원인 “ ㅂ 기계 공사 (공사기간 ‘22. 30.) ”의 계약을 건설업 등록을 하지 않은 일반 사업자인 ▷▷ (대표 U) 과 체결하여 공사를 완료한 것으로 확인되었다. 그 결과 위 공사는 건설업을 등록하지 않은 일반사업자가 진행함에 따라 전문 분야 건설기술인이 시공에 참여하였다고 담보할 수 없을 뿐 아니라 부실시공으로 하자 등 분쟁이 발생하더라고 관련법에 따라 분쟁 조정 및 시정 조치가 어려운 결과를 초래하였다."
"시설공사 법정경비 미정산","그럼에도 중앙대학교는【붙임 1】“대학 시설공사 법정경비 미정산 현황”과 같이 “ ㅅ 공사 (기계설비, 계약금액 38,000천원, 공사기간 2022. ~ 2023.2.23.) ” 등 8건 공사를 준공 처리하면서 공사금액에 계상된 보험료 등 (산업안전보건관리비, 환경보전비, 국민건강보험료, 국민연금보험료, 노인장기요양보험료) 사용내역을 확인한 사용실적에 따라 감액 정산하지 않고 계약상대자가 요구한 공사금액을 그대로 인정하여 지급함으로써 정당 금액보다 16,221천원의 공사비를 과다 지급하였다. 또한 중앙대학교병원은【붙임 2】“병원 시설공사 법정경비 미정산 현황”과 같이 “ ㅂ 공사 (계약금액 251,700천원, 공사기간 2022.10. 18.~2022.11.30.) ” 등 7건 공사를 준공 처리하면서 공사금액에 계상된 보험료 등 (산업안전보건관리비, 환경보전비, 국민 건강보험료, 국민연금보험료, 노인장기요양보험료, 퇴직공제부금) 사용내역을 확인한 사용실적에 따라 감액 정산하지 않고 계약상대자가 요구한 공사금액을 그대로 인정하여 지급함으로써 정당 금액보다 40,564천원의 공사비를 과다 지급하였다."
