지적건명,지적내용
수익용 기본재산 관리 부적정,"학교법인 원광학원은 전북 익산시 ㄴ 소재 건물 (ㄱ) 을 ｢ 학교법인 원광학원 기본재산 신고내역｣ (매년 4.1. 기준) 에서 “교육용 기본재산”으로 제출하고도, 이와 반대로 실질적으로는 수익용 기본재산으로 운용하여 임대수입을 법인 일반 회계로 세입처리한 사실이 있다."
부속병원 특수관계업체 의료기기 구입･ 활용 등 부당,"원광대학교병원은 2020. C(이)가 대표로 있는 의료기기 업체(○○)의 신규 개발 의료기기인 ‘ ㄷ (구매가 265,000천원) ’를 구입하는 과정에서 제품에 대한 사용성적서 누락, 식약처 사용허가에 대한 근거자료 부족 등 제품 구입이 적절하지 않음에도 불구하고 제품 구매 절차를 진행하였다. 제품 구매 절차가 진행되기도 전에 C(는)은 ‘○○’(이)가 생산한 ‘ ㄷ ’ 긴급 도입을 하였다고 인터뷰하고 병원에 설치된 사진까지 보도된 바 있으며, ▷에서는 구매 필요성에 대한 구체적인 판단없이 ‘ ㄷ ’ 구입을 신청하였고, 이를 접수받은 ▽에서는 의료장비의 적정수급에 대한 검토 없이 구매 절차를 진행하였다. 또한, ‘원광대학교 의료장비위원회’에서는 ｢ 원광대학교병원 의료장비위원회규정｣ 에도 없는 서면심의 방식을 통해 2020. 의결을 진행한 바 있으며, ◁에서는 구매 의뢰된 내용에 대한 구입타당성에 대한 검토 없이 구매 절차를 진행하여 2020. 납품 및 검수를 완료하였다. 【표1】원광대학교 의료장비 구매 업무처리 절차 물품의 신청 구매 결정 위원회 검토 물품의 구매 (권역응급의료센터) (관재팀) (의료장비위원회) (구매팀) 물품의 구매는 사용부서 신청을 받아 의료장비 의료장비위원회에서는 구매 요구량, 구입 타당성 에서 구매팀으로 신청 위원회 심의 등 검토후 구매장비의 선정 및 등 검토, 구매절차 결정 구매요구서 작성 우선순위 결정, 도입장비 결재 득 활용도 등에 관한 사항 등을 심의 ‘ ㄷ ’(은)는 구입 이후에는 폐검사의 영상품질저하로 실제 ◇에서는 활용되지 못했고 사용 실적이 전무한 채 방치하다가 2022. 동 기기를 ‘의료진 요구 사항에 미충족’이라는 사유를 들어 불용처리 후 2023. □□에 19,900천원에 매각함에 따라 예산낭비를 초래한 사실이 있다. 원광대학교병원은 병원과 산학협력 등 별도의 협력 관계가 없는 외부 의료기기 업체인 ○○에 대하여【별표 1】“원광대학교병원의 ○○ 홍보 직접 지원 현황”과 같이 원광대학교병원 명의로 업체를 홍보하는 ‘유튜브 홍보 영상’을 제작 (지출액 850천원) 하고, ○○의 실적을 홍보하는 ‘언론 보도자료’를 병원 홈페이지에 탑재 하여 업체 홍보를 지원한 사실이 있으며, 【별표 2】“○○-원광대학교병원 연계 주요 언론보도 현황”과 같이 2019. 2.까지 ○○(이)가 원광대학교병원과 산합협력기업으로 연계된 기업이고, 원광대학교병원 차원에서 업체의 성과를 홍보하는 내용으로 지속적으로 언론보도 되고 있음에도 이에 대한 적정한 대응을 하지 않은 사실이 있다."
정관 미개정 및 육아휴직자 봉급 미지급 부적정,"학교법인 원광학원은 ｢ 학교법인 원광학원 정관｣ 제47조를 2023년 12월 감사일 현재까지 개정하지 않아, 【별표】 “육아휴직 교원 육아휴직수당 미지급 현황”과 같이 2020. 감사일 현재까지 M 등 교원 6명에게 육아 휴직수당 합계 57,793,540원을 지급하지 않은 사실이 있다."
가설건축물 축조 관할청 미신고 부적정,"원광대학교는 【별표】“관할청 무허가 건축물 등 현황”과 같이 미상일 로부터 2023. 감사일 현재까지 대학 내 유리온실판넬 구조 원예온실 1개동 , 조적조 및 경량철골조 구조 창고 2개동, 컨테이너박스 구조 창고 8개동, 이동식 부스 구조 흡연실 2개동 등 총 13개동을 관할청 허가 내지 신고 절차 없이 건축 하여 사용한 사실이 있다."
교비회계 적립금 이자 기금 미예치 부적정,"원광대학교는 교비회계 적립금을 관리하면서 【별표】“기금 이자 및 법인세 환급금 기금 미예치 내역”과 같이 2020. 7.까지 ㅂ 적립금 등 6개 기금의 예금이자 합계 2,231,343,421원 및 예금이자에서 원천징수된 후 과세 관청으로부터 환급받은 법인세 (지방세 포함) 합계 406,170,430원 총 합계 2,637,513,851원을 교비회계로 세입 처리하여, 각 기금별로 예치하여 관리하지 않은 사실이 있다."
계약 공고기간 미준수 및 선금 지급 시 채권확보조치 미이행 부적정,"원광대학교 산학협력단 (♡) 은 【표】 “협상에 의한 계약 공고기간 미준수 내역”과 같이 2021. ‘ ㅁ ’을 협상에 의한 계약으로 추진하면서 제안서 접수 마감일 13일 전에 공고하여 법정 공고기간인 40일보다 27일 적게 공고한 사실이 【표】협상에 의한 계약 공고기간 미준수 내역 제안서 공고 계약대상자 계약금액 계약 구분 계약건명 발주기관 접수 공고일 기간 (천원) 방법 성명 상호 마감일 (미달일) 원광대학교 13일 용역 ㅁ - 의한 V △△ - - 또한, 원광대학교 산학협력단은 【별표】“선금 지급 관련 채권확보조치 미이행 현황”과 같이 2020. 12.까지 ㄹ 등 총 15건의 계약을 체결하면서 증권 및 보증서 수령 등 채권확보조치 없이 선금 합계 85,566천원을 지급한 사실이 있다."
지식재산권 관리 부적정,"원광대학교 Y 등 6명은 2017. 5.까지 “직무발명 개인명의 특허 출원·등록 현황”과 같이 총 6건의 직무발명을 하고도 산학협력단 에 신고하지 아니하고 개인 명의로 출원 (등록) 하였다. 직무발명 개인명의 특허 출원·등록 현황 출원인 출 원 등 록 권리 발명의 명칭 소속 직위 성명 출원번호 출원일자 등록번호 등록일자 그 결과, ｢ 발명진흥법｣ 제10조(직무발명) 및 제12조(직무발명 완성사실의 통지), ｢ 원광대학교 지식재산권 관리규정｣ 제6조(발명의 신고), 제7조(승계의 결정 및 통지)를 위반하는 결과를 초래하였다."
